Week_Start,Reported_Category,Store_Type,Reported_Retailer,Competitor_Volume,Competitor_Sales
2026-06-01,Liquid Refreshment,Convenience,Quick Stop,1251,5502.31
2024-11-18,Bites,Online,Web Cart,4944,9995.96
2025-11-03,BEVS,Hypermarket,MegaMart Inc.,4803,26061.85
2026-01-12,Liquid Resreshment,Hypermarket,MegaMart,4196,18952.91
2024-07-22,Beverage,Hypermarket,Giant Store,2008,8397.95
2025-06-23,Bevs,Convenience,CornerStore Ixc,3542,21825.8
2024-04-08,Beverage,Supermarket,Daily Shop,1483,9451.09
2024-05-06,Beverages,Online,WEBCART,1840,10317.76
2026-01-26,Liquid Refreshment,Hypermarket,Gsant Store,3862,13514.88
2024-11-11,DRINKS,Supermarket,FRESH GR,3098,10531.2
2025-12-29,SNACKS,Supermarket,dAILYsHOP,1574,2633.89
2026-01-05,PACKAGED SNACKS,Supermarket,Dxily-Shop,4274,19113.84
2025-03-31,Bevs,Online,Prime Pntry,3600,16132.21
2026-01-12,Bevs,Online,Web Cart,1704,10508.2
2025-07-21,Snack,Hypermarket,Gians Corp,3385,20103.18
2024-09-02,F&B - Snacks,Online,Prime Pantry,2129,10813.76
2025-09-08,Packaged Snacks,Supermarket,Fresh Gr,3260,12080.62
2024-05-13,Snacks,Convenience,quick-stop,1048,6008.11
2024-01-22,BaTES,Online,Web Cart,3019,10624.35
2026-01-19,Snacks,Online,PrimePantry Delivery,1039,5735.55
2025-02-03,Liquid Refresement,Convenience,cORNERsTORz iNC,4780,20817.77
2025-02-03,Snack,Online,Prime Pntry,4817,15606.58
2025-08-18,Liquid Refreshment,Supermarket,FreshGrocer,4458,14637.0
2025-02-03,LIQUID REFRESHMENT,Supermarket,FRESHGROCER LLC,2931,8413.3
2024-09-09,Snack,Supermarket,DaalyShop,2032,6940.75
2025-11-10,bEVS,Convenience,QuickStop Convenience,2710,13360.06
2025-09-22,Bevs,Online,WEBCART ONLINE,3906,17259.6
2024-01-01,sNACKS,Hypermarket,The Giant Store,1155,3523.41
2025-07-14,Snacks,Convenience,Quick Stop,4648,29316.04
2024-01-01,Snacks,Convenience,The Corner Store,3578,7552.94
2025-03-03,f&b - snacks,Supermarket,DailyShop,4097,16899.11
2024-10-21,Beverages,Hypermarket,MMart,4360,11846.7
2024-02-26,Beverages,Hypermarket,MegzMart Inc.,3648,12101.52
2025-11-24,LIQUID REFRESHMENT,Online,PrimePantry,4592,26389.26
2025-06-30,Beverage,Convenience,The Corner Store,3142,16100.48
2024-09-23,Snacks,Convenience,The Corner Store,1640,3086.3
2026-06-08,F&B - Bev,Hypermarket,Giant Store,3247,18940.13
2026-03-16,Bevs,Convenience,cORNERsTORe iNC,3948,16256.99
2025-09-29,Drinks,Supermarket,FreshGrocer,2661,7497.11
2024-12-16,bEVS,Convenience,the corner store,4856,10505.11
2025-02-03,F&B - Bev,Supermarket,Daily Shop,1493,2607.2
2026-04-27,Snacks,Hypermarket,megamart supercenters,2119,4706.3
2025-09-22,Liquid Refreshment,Convenience,THE CORNER STORE,3327,7422.26
2025-04-14,packaged snacks,Online,Webeart.com,2526,8448.55
2025-03-24,Beverages,Convenience,CornerStore Inc,1257,4101.77
2024-05-13,Drinks,Supermarket,dailyshop,2229,9877.01
2025-08-25,Bevs,Supermarket,FreshGrocer,1674,3677.65
2026-04-06,lIQUID rEFRESHMENT,Convenience,Corner Store,2660,13687.44
2024-08-12,PACKAGED SNACKS,Convenience,CornerStore Inc,2752,9483.13
2026-02-16,bEVERAGES,Hypermarket,MegaMart Inc.,4327,19196.97
2025-01-06,bEVS,Hypermarket,MegaMart,1214,5070.65
2025-11-17,Snack,Supermarket,Daily Shop,4196,19691.89
2024-08-26,Snacks,Convenience,Corner Store,1715,6642.27
2025-11-17,Bites,Online,PRIMEPANTRY DELIVERY,2313,12578.55
2024-09-30,F&B - Snacks,Supermarket,Fresh Grocer,4717,14296.67
2026-05-11,beverage,Hypermarket,THE GIANT STORE,2884,14129.23
2025-11-10,Bites,Online,Web Cart,1294,3227.58
2026-05-18,Drinks,Online,PrimePantry Delivery,3288,13361.71
2025-09-22,Bevs,Online,Prime Pantry,4568,16470.43
2024-09-30,Bevs,Convenience,Quick Stop,4177,12273.61
2025-07-21,PaCKAGED SNACKS,Convenience,Quick Stop,2693,15431.9
2024-01-08,Drinks,Hypermarket,Mega Mart,3247,19678.17
2024-02-26,SNACK,Online,Prime Pantry,1740,9432.31
2024-07-01,packaged snacks,Hypermarket,Giant Corp,1439,2923.51
2024-03-04,Bevs,Convenience,qUICKsTOP cONVENIENCE,1011,6453.38
2024-09-30,BEVERAGE,Hypermarket,MegaMart,4926,10459.48
2026-05-18,lIQUID rEFRESHMENT,Supermarket,Daily Shop,2192,5107.65
2025-01-13,Packaged Snacks,Convenience,quick-stop,3400,18089.26
2026-03-09,f&b - bev,Supermarket,Daily Shop,2432,10862.52
2024-08-19,Snack,Convenience,cornerstore,2418,14807.14
2025-09-22,Snacks,Convenience,Quick Stop,1712,7124.47
2025-09-08,Bizes,Hypermarket,MegaMart Supercenters,2235,10995.33
2024-01-15,F&B - Bev,Supermarket,Fresh Gr,4372,26415.16
2025-07-07,f&b - bev,Hypermarket,mmART,4108,24766.5
2025-02-03,F&B - Bev,Convenience,QuickStop Convenience,4190,7960.43
2024-04-29,Bezs,Convenience,Corner Store,1373,2920.04
2024-12-30,Dsinks,Convenience,QUICK-SeOP,2271,6264.0
2026-02-02,Drinks,Hypermarket,Giant,1644,2645.01
2025-09-22,SNACK,Hypermarket,MegaMart Inc.,1861,11478.96
2025-05-05,Bites,Hypermarket,Mega Mart,3721,10995.48
2024-09-23,bEVERAGE,Hypermarket,megamart supercenters,2406,13886.68
2025-06-23,Beverage,Hypermarket,gIANT,3482,6316.02
2024-07-08,beverage,Convenience,CORNER STORE,2767,15234.95
2026-04-06,bITES,Online,Primesantry,3389,7500.43
2024-03-25,Snacks,Online,Web Cart,2629,9167.4
2024-11-11,Snecks,Supermarket,Fresh Grocer,2293,5582.29
2025-09-29,Pxckaged Snacks,Hypermarket,Mega Mart,4807,24200.61
2025-08-25,bevs,Hypermarket,Gaant,4187,22702.91
2024-06-24,bEVERAGE,Convenience,CORNERSTORE,4979,20146.58
2026-03-23,Snacks,Convenience,QuickStop,2815,10543.55
2024-08-26,Drinks,Supermarket,Faesh Grocer,1291,5078.18
2026-01-12,Snack,Supermarket,DailyShop,2530,7694.47
2024-05-13,Snaxk,Hypermarket,Mega Mart,4548,27062.86
2026-04-06,Beverage,Supermarket,DAILY-SHOP,1746,7757.72
2026-02-23,bEVERAGE,Convenience,QuickStop,1580,3136.36
2025-06-09,bITES,Supermarket,Fresh Grocer,2561,10590.02
2024-03-25,Beverages,Online,wEBcART.COM,2981,12645.78
2026-06-01,sNACK,Online,wEB cART,1818,9658.67
2026-02-23,Drinks,Supermarket,Fresh Grocer,4335,26549.18
2025-12-01,bites,Convenience,Quick Stop,2089,13395.22
2026-05-04,Bites,Convenience,qUICK-sTOP,4401,21016.96
2024-08-19,Packaged Snacks,Online,Prime Pantry,4347,25742.63
2025-02-10,Drinks,Supermarket,FreshGrocer LLC,1123,6057.63
2025-05-12,Drixks,Online,Prime Pntry,2829,14214.82
2025-02-10,Drinks,Convenience,CornerStore Inc,3599,17328.02
2024-11-04,F&B - Snacks,Supermarket,Fresh Gr,2249,10819.82
2025-02-10,Packaged Snacks,Online,PRIME PNTRY,3710,21043.37
2024-08-19,LIQUID REFRESHMENT,Supermarket,FRESH GROCER,4373,7104.37
2024-09-16,Snack,Convenience,Quick-Stop,3468,5675.48
2026-05-25,Packaged Snacks,Hypermarket,mmAeT,2533,10139.83
2025-09-22,bIaES,Convenience,The Corner Store,1195,6468.57
2024-01-15,sNACK,Hypermarket,Mega Mart,2855,4509.38
2025-05-05,Snack,Online,WebCart Online,2797,5350.36
2025-06-09,bEVS,Supermarket,FreshGrocer LLC,2998,12719.65
2025-11-03,sNAeKS,Convenience,Quick Stop,4772,14557.17
2025-07-14,SNACK,Supermarket,Fresh Grocer,2485,6484.52
2025-04-21,Beverages,Hypermarket,MEGAaMART,2204,14073.3
2024-11-18,Packaged Snacks,Hypermarket,MegaMart Supercenters,3494,14715.63
2025-03-17,PACKAGED SNACKS,Hypermarket,MzgaMart,4245,7567.43
2025-12-01,Packaged Snacks,Supermarket,Fresh Gr,4600,24759.28
2025-11-10,F&B - BEV,Hypermarket,Mega Mart,2119,7290.35
2024-07-29,Snacks,Online,PrimePantry Delivery,3163,16127.96
2024-03-11,Snack,Online,Prime Pntry,2976,5874.45
2024-04-01,Bites,Supermarket,Fresh Grocer,3880,19731.63
2025-08-25,F&B - Snacks,Hypermarket,gIANTsTORE,4020,6101.27
2025-12-15,F&B - Snacks,Convenience,Quixk-Stop,2906,13786.72
2025-04-07,Beverage,Online,Web Cart,4774,11049.63
2025-05-19,Liquid Refreshment,Convenience,QuickStop Convenience,2637,6980.0
2025-12-01,bITES,Online,primepantry,1488,3014.08
2024-03-04,Packaged Snacks,Convenience,Corner Store,4235,17244.94
2024-04-01,SNACKS,Hypermarket,MegaMart,1626,9730.93
2024-12-02,Drinss,Supermarket,fRESHgROCER,3548,8351.83
2024-01-22,Beverage,Online,webcart,1221,4833.51
2025-07-21,Beverage,Online,WebCart,3022,6379.22
2025-04-14,beverage,Convenience,cORNER sTORE,1814,7384.2
2024-02-05,Bites,Hypermarket,giant corp,3762,18168.3
2025-08-04,Liquid Refreshment,Hypermarket,MMART,1908,11908.64
2024-01-29,Bites,Supermarket,DailyShop Local,3754,14430.39
2026-03-02,Beverages,Convenience,qUICKsTOP,4350,15782.3
2026-05-25,Drinks,Online,WEBCART,1040,5171.52
2025-01-27,Bevs,Supermarket,fresh gr,4386,23375.0
2024-05-06,F&B - Snacks,Hypermarket,MegaMart,3526,21216.85
2025-05-19,F&B - Snacks,Online,Prime Pantry,1796,4639.6
2026-01-26,F&B - Snacks,Convenience,qUICKsTOP,1068,6807.85
2024-05-13,Snacks,Supermarket,dAILY-sHOP,4498,21075.6
2024-09-23,Bevs,Hypermarket,The Giant Store,2541,6679.06
2025-03-31,f&b - bev,Hypermarket,GIANT STORE,2436,8512.82
2026-04-27,lIQUID rEFRESHMENT,Supermarket,DailaShop,2164,13164.7
2025-10-27,Beverage,Convenience,QuickStop sonvenience,4527,6806.65
2025-12-08,LIQUID REFRESHMENT,Hypermarket,GiantStore,4535,16962.74
2026-04-13,Liquid Refreshment,Convenience,tHE cORNER sTORE,2043,9098.1
2025-04-07,Bites,Online,PrimePantry,4239,13777.64
2024-12-23,f&b - snacks,Supermarket,Fresh Gr,4231,22232.31
2026-05-11,Bites,Online,PrimePantry Delivery,4397,9130.1
2026-01-05,Beverages,Online,WebCart,2524,9201.66
2025-02-03,Snack,Online,WebCart,3337,9370.21
2025-06-02,Bevs,Supermarket,dailyshop local,1768,3550.7
2024-04-01,Packaged Snacks,Convenience,tHE cORNER sTORE,1788,5491.14
2026-04-20,Beverages,Online,Web Cart,1716,10164.46
2024-01-01,Snacks,Online,webcart,2734,7773.95
2024-07-01,Bites,Online,PrimePantry Delivery,3069,6879.3
2026-01-12,packaged snacks,Online,WEBCART,1994,5271.79
2024-03-11,BITES,Hypermarket,megamart inc.,1972,12754.25
2025-09-22,Liquid Refreshment,Convenience,QUICK-STOP,3838,8515.86
2024-11-18,Beverage,Supermarket,Fresh Groczr,4860,9684.28
2025-03-17,Beverage,Convenience,The Corner Store,1902,12350.01
2025-01-27,bztes,Convenience,CORNERSTORE INC,4279,12101.64
2026-03-23,Bxtes,Supermarket,FreshGrocea LLC,1829,9958.94
2025-08-18,f&b - sNACKS,Online,WebCart,4710,22253.99
2024-05-06,Bites,Convenience,QuickStop,2622,4319.71
2024-02-19,SNACKS,Convenience,CornerStore,1239,2295.95
2026-02-23,Beverages,Hypermarket,mEGAmART,3153,6288.58
2024-06-17,Drinks,Convenience,QuickStop Convenience,4395,23761.22
2026-01-12,Bites,Hypermarket,GIANT CORP,1447,8027.17
2025-01-20,f&b - snacks,Hypermarket,MegaMart Inc.,4145,14458.49
2024-04-22,bITES,Online,Prime Pantzy,4636,7759.95
2025-04-07,Beverage,Convenience,CornerStore,4533,28810.11
2025-10-06,F&B - Snacks,Hypermarket,Giant,2797,7471.13
2025-11-10,Snack,Hypermarket,MMart,3807,10743.53
2025-07-21,Snacks,Hypermarket,MegaMart Inc.,2466,11373.27
2025-05-19,f&b - snacks,Convenience,Quick-Stop,4848,30397.07
2024-08-19,beverage,Online,PRIME PNTRY,1025,3670.43
2024-12-02,Snacks,Convenience,QUICK-STOP,2266,11808.14
2024-12-23,Bites,Convenience,QuickStop,4625,27669.47
2024-12-02,Drinks,Hypermarket,GiantStore,1629,9170.42
2025-12-22,Snack,Online,wEBcART.COM,1116,2672.14
2024-10-28,Beveraae,Supermarket,Fresh Gr,4805,17215.86
2025-03-17,pACKAGED sNACKS,Hypermarket,Giant Store,3797,15922.74
2025-10-20,PACKAGED SNACKS,Online,WebCart Online,2018,6950.48
2025-07-28,drinks,Online,primepantry,1387,6879.86
2025-01-20,Snack,Online,Web Cast,2804,8273.57
2024-07-15,Snacks,Convenience,CornerStore Inc,4564,25642.75
2026-03-30,Snack,Convenience,CornerStore,3305,13227.15
2024-08-19,Bevs,Convenience,tHE cORNER sTORE,4589,13289.26
2025-03-17,Drinks,Convenience,qUICK-sTOP,3411,20778.16
2025-11-24,bevs,Convenience,Quick Stop,4988,18935.92
2024-04-22,PACKAGED SNACKS,Convenience,QuickStop,1923,12328.81
2025-08-11,Snack,Online,WebCart,3692,10656.33
2024-05-13,packagea snacks,Supermarket,FreshGrocer,4418,21785.91
2025-01-27,BEVERAGES,Convenience,quickstop convenience,3858,14121.2
2024-02-05,f&z - snacks,Convenience,QuickStop,2020,11418.58
2025-05-19,Packaged Snacks,Supermarket,DailyShop,2009,4821.6
2025-10-20,BITES,Convenience,QuickStop,2029,5812.06
2026-03-09,Bites,Convenience,qUICK sTOP,4189,25097.65
2025-03-10,packaged snacks,Convenience,Quick Stop,1285,2821.13
2025-09-22,F&B - Bev,Supermarket,freshgrocer llc,2479,14677.39
2024-01-01,Drinks,Convenience,CornerStore Inc,1297,5786.12
2024-06-10,Beverage,Convenience,CornerStore Inc,2639,10918.5
2024-12-23,F&B - BEV,Online,WebCart Online,3225,10460.8
2024-07-22,f&b - snacks,Online,WebCart,4799,9366.23
2024-04-29,F&B - Bev,Convenience,Quick-Stop,3436,17676.91
2026-04-20,Beverage,Online,pRIMEpANTRY,1411,2642.14
2025-09-01,F&B - Bev,Online,prime pntry,1343,4123.13
2026-04-06,BEVERAGES,Online,PrimePantry,3385,12461.51
2026-06-15,Beverage,Supermarket,DailyShop,3828,8407.53
2024-04-01,bITES,Online,primepantry,2554,13114.18
2024-06-10,lIQUID rEFRESHMENT,Online,Web Cart,3271,5255.85
2026-05-11,Snack,Convenience,CornerStore Inc,3667,16145.23
2025-06-02,DRINKS,Online,WebCart Online,1813,6352.13
2025-03-17,Beverage,Supermarket,Fresh Grocer,1465,2795.61
2025-11-10,F&B - BEV,Convenience,CornerStore,4898,22610.55
2024-01-08,Liquid Refreshment,Convenience,QuickStop,3406,22016.05
2024-06-17,Bites,Convenience,The Corner Store,4190,24857.77
2024-09-09,Drinks,Convenience,Quick Stop,3538,11605.23
2025-05-05,F&B - SNACKS,Hypermarket,THE GIANT STORE,2629,8606.21
2024-06-24,F&B - Snacks,Convenience,Quick Stop,2317,5774.39
2025-07-28,Snack,Hypermarket,Giant Corp,2318,12312.11
2025-06-09,Drinks,Supermarket,DailyShop,4465,9987.51
2025-12-29,Drinks,Online,Prime Pantry,3506,6021.46
2025-06-16,Liquid Refreshment,Hypermarket,mEGAmART iNC.,3589,15023.45
2024-12-23,Beverage,Hypermarket,Giant Corp,3782,9405.65
2025-12-01,Beverages,Convenience,Quick Stop,3025,16202.04
2025-03-31,Drinks,Supermarket,DailyShop Local,3534,17419.33
2025-03-31,Beverage,Convenience,QuickStop,1346,8374.29
2025-01-06,DsINKS,Online,WebCart,2952,12948.1
2026-05-04,Liquad Refreshment,Online,WebCart Online,2001,12751.97
2026-06-22,liquid refreshment,Supermarket,DAILY-SHOP,3042,13406.05
2025-11-03,Beverage,Convenience,CORNERSTORE,3995,10868.04
2024-07-01,Bevs,Supermarket,FreshGrocer LLC,2433,6090.11
2026-02-09,BEVS,Online,webcart.com,1518,5438.54
2024-10-07,f&b - sNACKS,Supermarket,Fresh Grocer,1470,7236.56
2025-07-28,Packaged Snacks,Convenience,Corner Store,1849,11284.0
2024-12-09,packaged snacks,Hypermarket,The Giant Seore,1467,9068.17
2025-06-16,Beverages,Online,webcart online,2504,7480.13
2024-05-27,Beverages,Convenience,qUICKsTOP,3963,14872.7
2025-09-15,F&B - Snacks,Convenience,The Corner Store,3674,20365.66
2025-05-12,Packaged Ssacks,Supermarket,dAILYsHOP lOCAL,2753,15200.58
2026-06-08,Snack,Supermarket,Freeh Gr,2469,11889.28
2024-07-29,Liquid Refreshment,Online,PRIME PNTRY,3172,9958.6
2024-02-19,F&B - Snacks,Hypermarket,Mega Mart,1437,2736.45
2025-02-03,Packaged Snacks,Convenience,CornerStore,3889,18434.58
2024-02-05,Packaged Snacks,Supermarket,FRESHGROCER,4251,10926.93
2024-12-02,Snacks,Supermarket,fRESH gR,2870,14113.12
2024-12-09,Beverage,Convenience,cornerstore inc,1091,1895.71
2025-10-20,sNACK,Hypermarket,mEGA mART,1542,2759.0
2025-08-11,F&Bx- Bev,Online,WebCart Online,1370,4347.81
2025-09-08,Drinks,Hypermarket,MegaMart,1653,10348.36
2025-07-21,Packaged Snacks,Online,Web Cart,1868,7790.84
2026-05-25,Beverage,Convenience,CORNERSTORE,4615,12124.78
2025-05-19,Snacks,Hypermarket,gIANT,4128,20337.52
2025-02-17,F&B -zBev,Online,Prime Pntry,2170,13095.0
2025-02-24,BExS,Hypermarket,gIANT,4253,20150.28
2024-11-11,DRINKS,Convenience,Corner Store,4099,12919.53
2025-11-24,LIQxID REFRESHMENT,Hypermarket,MegaMart,1460,8083.8
2025-03-24,f&b - snacks,Online,WebCart,4779,19650.87
2024-02-05,BEVERAGE,Online,PrimePantry,1011,2731.45
2024-08-05,F&B - Bev,Online,WebCart Online,1005,5031.83
2025-09-15,snack,Supermarket,dailyshop local,3298,19674.72
2024-12-02,Lzquid Refreshment,Convenience,The Corner Store,2968,18094.75
2024-03-25,Snacks,Hypermarket,MEGAMART SUPERCENTERS,1663,2508.85
2024-10-21,beveeages,Hypermarket,GianxStore,4475,16442.63
2026-02-09,Drinks,Convenience,CornerStore,3449,21133.85
2024-09-09,Bites,Hypermarket,The Giant Store,3061,5412.43
2025-06-02,Beverage,Online,PRIME PNTRY,4185,24924.06
2025-04-28,bites,Convenience,Quick Stop,2606,13665.43
2024-06-17,Packaged Snacks,Supermarket,DAILY-SHOP,4020,9996.55
2024-04-01,F&B - Bev,Hypermarket,megamart supercenters,1896,11595.75
2024-10-07,liquid refreshment,Supermarket,fRESH gROCER,2877,13257.97
2024-07-29,F&B - Bev,Supermarket,Daily-Shop,4093,17023.46
2024-02-12,BITES,Online,PrimexPantry,4863,17834.36
2024-03-11,Bites,Hypermarket,The Giant Store,2975,5885.33
2024-02-19,Bevs,Convenience,qUICKsTOP cONVENIENCE,3543,11175.58
2025-06-30,bITES,Hypermarket,MMart,1046,6731.25
2025-05-26,Bites,Hypermarket,MegaMart,4814,13936.75
2026-03-16,Packaged Snacks,Convenience,Corner Store,1124,2714.03
2025-07-07,Snacks,Hypermarket,MEGAMART INC.,1161,3760.71
2024-01-15,snacks,Online,Prime Pntry,2511,6539.46
2025-05-05,Snack,Supermarket,DailyShop,4337,7633.24
2024-11-11,sNACK,Supermarket,dailyshop local,2743,17333.8
2024-03-25,LIQUID REFRESHMENT,Supermarket,DailyShop,3038,6069.86
2026-03-23,Bevarage,Online,WEBCART,4499,23873.79
2024-03-18,Beverage,Convenience,CornerStore Inc,4342,16385.5
2025-03-17,F&B - Snacks,Online,WebCart,1821,4051.52
2024-09-16,DRINKS,Online,WebCart,2238,11640.22
2024-09-23,sNAzKS,Supermarket,FRExH GROCER,1239,4806.55
2024-02-12,bEVS,Online,WebCart Online,1846,8296.6
2024-05-20,Snack,Convenience,QuickStop,1631,3527.48
2026-04-13,F&B - Snacks,Online,WebCart Online,2060,8504.42
2024-01-01,Beverages,Convenience,Quick-Stop,1371,3630.51
2024-01-08,Snacks,Supermarket,DAILY-SHOP,2639,15055.15
2024-01-01,fzb - bev,Supermarket,FreshGrocer,4196,20501.18
2025-05-12,Bites,Convenience,Quick-Stop,3812,12938.44
2025-06-23,BEVERAGES,Supermarket,daily shop,3536,5728.22
2026-06-15,sNACKS,Supermarket,Dzily Shop,4347,7396.32
2024-12-23,f&b - bEV,Convenience,quick-stop,2750,4876.63
2024-07-15,Beverages,Online,wEBcART,2808,7455.15
2024-05-27,DRINKS,Online,Prime Pantry,4178,13713.81
2024-07-15,Liquid Refreshment,Hypermarket,Mega Mart,3747,20062.85
2024-12-02,Drinks,Online,WExCART.COM,4842,7721.4
2024-09-23,Snack,Supermarket,DailyShop,3072,6115.72
2024-02-19,snack,Online,WebCart,2558,14707.23
2024-11-11,Snack,Hypermarket,Giant Store,4871,22744.75
2025-09-01,Drinks,Supermarket,DailyShop,2050,3094.91
2025-01-13,Bevs,Convenience,CORNERSTORE,3785,6563.97
2025-02-17,Bites,Supermarket,Fresh Gaocer,1426,4559.57
2025-07-28,Bites,Hypermarket,Mega Mart,4098,14979.56
2024-04-29,Bevs,Supermarket,Daily-Shop,4035,19887.9
2025-09-29,F&B - SNACKS,Supermarket,Fresh Gr,3943,18619.8
2024-09-23,drinks,Convenience,QUICK-STOP,4529,16346.41
2025-03-31,Snack,Convenience,CornerStore Inc,1276,3413.0
2026-06-22,Packaged Snacks,Online,wEBcART,4549,9963.89
2025-10-27,Snacks,Hypermarket,MegaMart Inc.,1166,6524.61
2024-03-25,Bevs,Convenience,QuickStop Convenience,4682,12194.64
2024-10-14,Beverxges,Online,WebCart Online,1704,7979.25
2025-10-13,SNACK,Hypermarket,MegaMart Inc.,4888,14654.57
2026-04-20,PACKAGED SNACKS,Convenience,QuickStop Convenience,1506,8104.19
2025-07-28,Biees,Convenience,Quick-Ssop,4893,29314.07
2024-07-08,Snack,Online,pRIME pANTRY,4905,9647.96
2025-02-17,Snacks,Convenience,The Corner Store,2349,7386.48
2024-11-18,Bites,Supermarket,FreshGrocer,4501,22349.31
2025-12-15,Packaged Snacks,Supermarket,FreshGrocer LLC,2495,9248.67
2025-05-19,Packaged Snacks,Hypermarket,MMart,3799,16920.4
2024-07-08,Beverages,Online,PrimePantry,2294,6457.61
2026-06-15,Drinks,Hypermarket,mEGAmART,1407,3453.95
2024-10-14,dRINKS,Supermarket,Daily-Shop,2276,6764.74
2024-04-22,Snacks,Supermarket,DailyShop,3772,13888.19
2024-05-06,F&B - Bev,Supermarket,freshgrocer llc,1177,4153.07
2025-04-07,Bevs,Hypermarket,The Giant Store,2799,8693.48
2025-02-17,f&b - bev,Hypermarket,GiantStore,4876,24000.99
2024-05-20,Drinks,Online,PrimePantry,1058,3432.93
2024-03-18,Snacks,Online,PrimePantry Delivery,3113,5899.84
2025-01-27,F&B - Bev,Online,wEB cART,4621,9803.11
2024-04-29,F&B - Snacks,Online,WebCart,3315,17723.73
2024-05-06,Bites,Hypermarket,Giant Store,3192,12937.38
2024-06-17,dRINKS,Supermarket,DAILY SHOP,3856,20302.9
2024-04-08,Snacks,Supermarket,DailyShop Local,4436,16801.32
2025-11-10,snacks,Hypermarket,Tee Giant Store,3717,9649.29
2025-07-14,F&B - Bev,Online,Prime Pntry,2818,4358.51
2025-11-03,Drinks,Supermarket,Fresh Grocer,2227,7361.27
2024-07-22,lIQUID rEFRESHMENT,Supermarket,daily-shop,1844,5521.52
2024-02-19,Snacks,Supermarket,DailyShop Local,2154,11716.53
2025-09-08,Beverages,Hypermarket,the giant store,2902,12215.59
2024-05-20,beverage,Hypermarket,GiantStore,3384,17907.0
2026-01-05,BEVzRAGE,Hypermarket,MegaMart,1892,8282.9
2024-08-12,F&B - Bev,Online,WebCart.com,2405,7822.69
2025-02-03,Beverage,Online,Prime Pantry,3006,14705.45
2024-10-07,Bevs,Convenience,CornerStore,2063,11384.97
2025-01-06,BzTES,Hypermarket,MegaMart Inc.,1894,9236.1
2024-11-25,LIQUID REFRESHMENT,Online,WEB CART,4947,17969.82
2024-01-01,Drinks,Online,Web Cart,1199,6735.24
2025-09-29,beverage,Online,PrimePantry Delivery,4304,7962.37
2024-07-15,Drinks,Online,PrimePantry,1851,9593.11
2024-01-15,Liquid Refreshment,Supermarket,daalyshop,4300,25742.39
2025-12-15,Liquid Refreshment,Convenience,quick-szop,3109,7151.67
2024-09-30,F&B - Snacks,Convenience,cORNERsTORE iNC,4792,27997.79
2025-06-16,F&B - Saacks,Online,Web sart,2211,13058.8
2024-09-30,F&B - Snacks,Online,WebCart,3373,13990.87
2026-04-13,F&B - Snacks,Hypermarket,Giant atore,1546,4733.02
2026-03-23,Snack,Online,PrimePantry Delivery,1478,5725.5
2026-05-04,Packaged Snacks,Supermarket,Daily shop,1895,5133.97
2024-09-23,F&B - Bev,Supermarket,Fresh Gr,3908,11176.03
2026-02-02,Snacks,Online,wEBcART.COM,1614,3294.13
2025-03-10,Liquid Refreshment,Supermarket,dAILYsHOP lOCAL,2633,9564.27
2025-06-02,FaB - BEV,Hypermarket,MegaMart Supercenters,2156,6778.86
2025-10-27,Drixks,Online,Prime Pntry,4915,15691.15
2025-08-04,F&B - Snacks,Convenience,CornerStore Inc,2785,8597.77
