Week_Start,Reported_SKU,Reported_Brand,Reported_Variant,Sub_Category,Reported_Category,Store_Type,Reported_Retailer,Volume,Unit_Price,Total_Sales
2025-08-18,SKU-10z7,dOUGHbOY,Dbl Choco,Cookies,F&B - Snacks,Convenience,Quick Stop,228,4.49,1022.9
2024-05-13,SKU-1007,Zap,no sugar,Energy,Beverage,Online,PrimePantry Delivery,463,3.82,1766.47
2025-07-14,sku-1017,DoughBoy,Double Choco,Cookies,packaged snacks,Supermarket,Fresh Gr,291,4.1,1192.81
2025-09-22,SKU-1012,CrunchBite,Spicy,Chips,Snack,Online,Prime Pantry,431,3.55,1531.31
2025-09-15,SKU-1005,ColaMax,French Vanilla,Soda,dRINKS,Online,Web Cart,401,2.42,972.42
2025-12-29,SKU-1012,CRUNCHBITE,Hot,Chips,Sxack,Hypermarket,MegaMart Inc.,266,3.04,809.91
2024-06-10,SKU-10x4,POTATOKING,SsurCream,Chips,Snacks,Online,WEB CART,303,5.16,1564.3
2024-04-08,SKU-1010,CrunchBite,sltd,Chips,Snack,Hypermarket,MEGA MART,317,3.11,
2025-08-11,SKU-1003,COLAMAX,REG,Soda,Drinks,Supermarket,FreshGrocer,387,4.26,1647.53
2025-09-15,SKU-1002,fizzpop,CHRY,Soda,bEVERAGES,Convenience,CornerStore Inc,110,4.36,480.05
2024-08-12,sku-1016,SweetTreat,oatmeal raisin,Cookies,Snacks,Convenience,CornerStore Inc,153,5.08,777.2
2025-08-18,sku-1001,FizzPop,Diet,Soda,liquid refreshment,Hypermarket,giazt store,378,2.49,941.89
2025-09-22,sku-1001,FizzPop,Diet,Soda,Beverages,Online,wEBcART oNLINE,505,3.23,1631.23
2025-04-28,SKU-1005,COLAMAX,Van,Soda,Bevs,Online,WebCart,493,2.9,
2024-01-08,sku-1018,DoughBoy,Vanilla,Cookies,Snacks,Hypermarket,giant store,316,2.73,863.14
2024-09-09,sku-1010,CrunchBite,Original aalted,Chips,f&b - anacks,Online,Web Cart,180,2.09,376.28
2025-09-08,SKU-1007,Zap,SugarFree,Energy,Drinks,Supermarket,fRaSH gROCER,119,5.92,704.42
2026-01-19,sku-1e18,DoughBoy,FRENCH VANILLA,Cookies,F&B - Snacss,Hypermarket,Giant Store,751,5.73,4302.2
2025-09-01,sku-1012,CrunchBite,Hot,Chips,Snack,Convenience,The Corner Store,156,3.34,520.83
2025-07-07,SKU-1005,ColaMax,french vanilla,Soda,BEVERAGES,Supermarket,DailyShop,132,2.91,383.49
2025-12-15,SKU-e014,PotatoKing,sOUR cREAM,Chips,snack,Online,WebCart.com,551,5.32,2933.61
2025-12-01,SKU-1015,SweetTreat,ChocoChip,Cookies,Bites,Hypermarket,GIANT CORP,217,2.01,435.38
2024-02-26,SKU-1015,SweetTreat,CC,Cookies,Snack,Convenience,quickstop convenience,370,4.41,1632.58
2026-04-06,SKU-1014,potatoking,Sour Cream,Chips,Packaged Snacks,Convenience,QuickStop,127,5.09,646.05
2025-03-10,SKU-1005,ColaMax,FRENCH VANILLA,Soda,BEVERAGES,Online,webcart online,515,3.22,1660.58
2025-06-23,SKU-1006,Zap,Oenl,Energy,Dsinks,Supermarket,FreshGrocer,344,2.1,722.91
2025-06-23,SKU-1011,CrxnchBite,Honey BBQ,Chips,Bites,Hypermarket,GiantStore,128,2.34,298.88
2024-02-26,SKU-1012,CrunchBite,SPICY,Chips,Bites,Hypermarket,The Giant Store,431,4.82,2077.5
2024-10-21,SKU-1012,cRUNCHbITE,hot,Chips,Snaxks,Convenience,CornerStore,283,2.07,
2025-04-14,SKx-1006,Zap,Original,Energy,Bsvs,Hypermarket,GiantStore,195,5.46,1063.74
2024-06-17,SKU-1016,sWEETtREAT,Oatmeal,Cookies,snacks,Online,PRIME PNTRY,267,3.01,804.34
2025-07-21,SKU-1s09,Titan,ctrs,Energy,Beverages,Supermarket,dAILYsHOP lOCAL,463,4.4,2038.99
2025-07-28,SKU-1012,CrunchBite,Spicy,Chips,Snack,Hypermarket,MegaMart Inc.,118,3.39,400.42
2026-03-23,SKU-1018,DoughBoy,French Vanilla,Cookies,BIzES,Hypermarket,MegaMart Supercenters,304,4.65,1414.76
2025-08-04,SKU-1013,PotatoKing,Classc,Chips,packaged snacks,Online,WebCart,286,2.74,782.48
2025-03-31,SKU-1000,FizzPop,sTANDARD,Soda,Bevs,Supermarket,Daily-Shop,473,4.96,2345.56
2026-04-27,SKU-1012,CrunchBite,Spizy,Chips,Bites,Supermarket,dailyshop local,383,2.83,1084.04
2024-07-08,sku-1004,ColaMax,0,Soda,Liquid Refreshment,Hypermarket,mEGAmART sUPERCENTERS,745,5.65,4207.18
2025-05-12,SKU-1015,SweetTreat,Chocolate Chip,Cookies,Bites,Supermarket,Daily-Shop,485,4.79,2323.17
2026-04-27,sku-1017,DOUGHBOY,DBL CHOsO,Cookies,Packaged Snacks,Convenience,Quick-Stop,455,4.6,2092.81
2024-08-19,SKU-1013,POTATOKING,cLAxSC,Chips,SNACK,Convenience,the corner store,311,4.69,1459.53
2025-11-24,SKU-1017,DoughBoy,Dbl Chc,Cookies,Bites,Convenience,QuickStop Convenience,173,2.65,459.25
2025-09-15,SKU-1000,FizzPop,Regular,Soda,Beverage,Online,WebCart.com,249,2.29,570.7
2025-09-22,SKU-10z3,COLAMAX,sTD,Soda,f&b - bev,Convenience,Corner Store,182,2.33,424.83
2025-05-05,SKU-1002,FizzPop,cHRY,Soda,liquid refreshment,Convenience,qUICKsTOP cONVENIENCE,462,3.09,1427.87
2025-03-24,SKU-1007,zAP,SF,Energy,Bevs,Hypermarket,MMart,347,4.14,1436.27
2026-04-27,SKU-1014,POTATOKING,SourCream,Chips,Snacks,Online,WEBCART ONLINE,529,3.51,1854.27
2024-11-04,SKU-1011,CrunchBite,Barbecue,Chips,Bites,Supermarket,dAILY-sHOP,630,4.78,3011.79
2025-10-13,SKU-1013,PotatoKing,cLASSIC,Chips,sNACK,Supermarket,Fresh Grocer,246,2.51,616.71
2024-03-18,SKU-1006,Zap,oRIG,Energy,Beverage,Convenience,Quick-Stop,337,4.55,1533.87
2025-03-17,SKU-1012,CrunchBite,secy,Chips,Snack,Online,WEB CART,96,2.03,195.11
2025-10-13,SKU-1014,POTATOKING,sour crm,Chips,sNACKS,Supermarket,Fresh Grocer,307,2.54,778.62
2025-05-12,SKU-1006,Zap,Ognl,Energy,liquid refreshment,Supermarket,Daily-Shop,384,2.26,869.33
2025-03-10,SKU-1001,FizzPop,Diet,Soda,F&B - Bev,Supermarket,FRESH GROCER,483,3.97,1916.5
2025-05-26,sku-1017,DoughBoy,DoubleChoco,Cookies,Snack,Online,wEB cART,347,4.99,1732.11
2025-11-17,SKU-1015,SweetTreat,cc,Cookies,PACKAGED SNACKS,Convenience,CornerStore,427,2.47,1052.98
2024-01-29,SKU-1011,cRUNCHbITE,Barbecue,Chips,Packaged snacks,Hypermarket,GiantStore,632,3.72,2350.19
2026-04-13,SKU-10e8,doughboy,Vnla,Cookies,snacks,Hypermarket,Giant Csrp,481,2.73,1311.14
2025-06-30,SKU-1017,doughboy,Dbl Choco,Cookies,Snack,Supermarket,FRESHGROCER LLC,371,5.89,2186.14
2025-09-22,SKU-1017,DoughBoy,Dbl Chc,Cookies,bites,Supermarket,FreshGrocer LLC,329,5.77,1896.92
2025-10-27,SKU-1000,FiazPop,Reg,Soda,beverages,Supermarket,Fresh Gr,130,3.4,441.72
2024-08-12,SKU-1016,SweetTreat,Oat,Cookies,F&B - Snacks,Supermarket,Fresh Grocer,128,3.42,437.59
2024-07-08,SKU-1005,ColaMax,VAN,Soda,Beveraae,Supermarket,FreshGrocer,150,2.92,
2025-06-09,SKU-1018,DoughBoy,Vanilsa,Cookies,f&b - sNACKS,Supermarket,Fresh Gr,224,4.21,
2026-02-09,SKU-1004,ColaMax,zero sugar,Soda,Beverage,Hypermarket,MegaMart Inc.,275,5.39,1481.86
2024-04-01,SKU-1000,FizzPop,Standard,Soda,f&b - bEV,Convenience,CornerStore Inc,500,5.98,2989.84
2025-03-17,SKU-1007,ZAP,SF,Energy,Beverages,Online,WEB CART,197,5.66,1115.25
2026-03-16,SKU-1001,FizzPop,lite,Soda,lIQUID rEFRESHMENT,Hypermarket,GIANT CORP,100,2.84,283.63
2024-06-10,skus1003,ColaMax,sTANDARD,Soda,Drinks,Hypermarket,megamart inc.,667,4.7,3135.04
2025-03-10,SKU-1003,ColaMax,Standard,Soda,Drinks,Online,PrimePantry Delivery,223,5.62,1253.33
2025-07-28,SKe-1002,fizzpop,Cherry,Soda,F&B s Bev,Online,Prime Pantxy,133,3.92,521.83
2025-02-10,SKU-1016,sWEETtREAT,Oatmeal,Cookies,Snack,Convenience,QuickStop,362,2.2,796.36
2025-11-03,SKU-1010,crunxhbite,Original Salted,Chips,bites,Convenience,CorneraStore,442,2.04,901.86
2026-05-25,SKU-1014,PotataKing,sc & onion,Chips,Bites,Online,PrimePantry Delivery,533,4.94,2634.75
2025-06-02,sku-1010,CrunchBite,Sltd,Chips,Bites,Convenience,The Corner Store,228,5.43,1238.42
2024-01-08,SKU-1012,CrunchBite,hOT,Chips,Packaged Snacks,Convenience,CORNERSTORE INC,520,2.37,1234.58
2024-03-11,SKU-1007,Zap,SUGAR FREE,Energy,Baverage,Online,Prime Pntay,346,2.83,978.55
2025-06-09,SKU-1002,fizzpop,Chery,Soda,f&b - bEV,Convenience,cornerstore,347,3.98,1381.93
2024-03-25,sku-1013,PotatoKing,Classc,Chips,Packaged Snacks,Supermarket,DailyShop,460,5.21,2395.75
2024-11-04,sku-1014,PotatoKing,Sour Crm,Chips,Packaged Snacks,Hypermarket,GiantStore,232,5.77,1338.86
2025-11-24,SKU-1010,cRUNCHbITE,Orxginal Salted,Chips,Snacks,Online,WebCart,321,4.96,1592.6
2025-11-24,SKU-1010,crunchbite,oRIGINAL sALTED,Chips,Bites,Convenience,qUICK-ssOP,691,3.94,2723.98
2026-06-08,sku-1012,cruncheite,Flamin,Chips,F&B - SNACKS,Hypermarket,gIANT,192,5.51,1057.8
2024-06-10,SKU-1006,Zap,Classic,Energy,F&B - BEV,Convenience,The Corner Store,486,4.65,2262.19
2024-10-07,sku-1003,ColaMax,Std,Soda,Drinks,Supermarket,fresh grocer,406,2.45,994.36
2024-10-14,SKU-1008,tITAN,Berry,Energy,F&B - Bsv,Hypermarket,The Giant Store,201,5.98,1202.55
2026-01-26,SKU-1015,SweetTreat,CC,Cookies,Bites,Supermarket,DailyShop,412,3.19,1315.57
2025-01-06,SKU-1012,crunchbite,Spcy,Chips,F&B - Snacks,Convenience,cORNERsTORE,144,3.38,487.05
2026-04-13,SKU-1014,PotatoKing,sOURcREAM,Chips,Biaes,Online,Web Cart,548,2.75,1507.26
2026-05-25,SKU-1017,DOUGHBOY,DoubleCaoco,Cookies,pACKAGED sNACKS,Convenience,Quick-Stop,506,3.16,1598.19
2025-10-06,SKU-1007,Zap,SF,Energy,Beverage,Convenience,Quick-Stop,454,4.85,2200.98
2025-05-19,SKU-1004,cOLAmAX,0,Soda,dRINKS,Hypermarket,MegaMart Inc.,496,3.24,1609.27
2025-11-24,SKU-1011,CrunchBite,bbq,Chips,snacks,Supermarket,DailyShop Local,248,2.47,612.67
2026-03-30,SKU-1017,DaughBoy,DoubleChoco,Cookies,F&B a Snacks,Supermarket,DailyShop Local,381,5.25,2000.83
2025-10-27,SKU-1010,CrunchBite,Original Salted,Chips,Snack,Hypermarket,tae giant store,115,3.52,404.83
2024-10-21,SKU-1010,cRUNCHbITE,Salted,Chips,F&B - Snacks,Online,Prime Pntry,345,2.29,791.6
2024-08-19,sku-1018,DOUGHBOY,Vnla,Cookies,Bites,Online,WebCart,356,3.53,1256.96
2025-01-20,SKU-1013,PotatoKing,cLASSC,Chips,F&B - Snacks,Supermarket,Fresh Grocer,659,5.2,3426.16
2025-09-29,SKU-1008,Tatan,BRY,Energy,Drinks,Supermarket,Fresh Grocer,420,4.51,1892.58
2025-04-07,SKU-1018,DoughBoy,FRENCH VANILLA,Cookies,Packaged Snacks,Convenience,qUICKsTOP cONVENIENCE,425,5.38,2284.85
2025-11-10,SKU-1000,FizzPop,Standard,Soda,Drinks,Supermarket,Fresh Grocer,456,4.36,1986.58
2025-04-14,SKU-1016,SweetTreat,OATMEAL,Cookies,Bites,Online,webcart online,139,3.97,552.17
2024-04-15,sku-1010,CrunchBite,Salted,Chips,F&B - Snacks,Convenience,qUICK-sTOP,191,5.14,982.63
2024-06-24,sku-1002,fIZZpOP,Cherry,Soda,BEVERAGE,Supermarket,FreshGrocer,532,3.02,1608.08
2025-08-25,SKs-1011,CrunchBite,bARBEzUE,Chips,Bites,Convenience,Quick-Stop,500,4.96,2478.06
2025-02-10,SKU-1013,PotatoKing,cLASSIC,Chips,pACKAGED sNACKS,Online,wEBzART,137,3.46,474.53
2024-11-11,SKU-1005,ColaMax,fRENCH vANILLA,Soda,F&B - BEV,Online,WebCart,294,2.29,672.75
2025-12-22,sku-1002,Fizzxop,Chery,Soda,Drinks,Convenience,CornerStore,396,3.53,1399.68
2026-04-06,SKU-1013,pOTATOkING,Original,Chips,sNACK,Online,Prime Pantry,202,3.27,661.38
2026-03-02,SKU-1013,PotatoKing,cLAeSIC,Chips,sNACK,Supermarket,DailyShop Local,444,5.61,
2026-03-16,sku-1012,crunchbiee,Hot,Chips,Packaged Snacks,Online,Web Cart,180,2.03,365.21
2025-06-02,SKU-1013,potatoking,classic,Chips,Snack,Online,PrimePantry,322,2.84,913.13
2024-03-04,SKU-1009,Titan,lEMON-lIME,Energy,Liquid Refreshment,Convenience,QuickStop,269,4.69,1260.9
2026-03-02,SKU-1002,fizzpop,Chry,Soda,DRINKS,Online,WebCart znline,273,2.81,768.11
2024-01-15,SKU-1x10,CrunchBite,Salt,Chips,F&B - Snacks,Convenience,The Corner Store,635,5.77,3662.82
2024-12-16,SKU-1007,Zap,Sugar Free,Energy,F&B - Bev,Supermarket,FreshGrocer,307,3.43,1053.05
2024-03-18,sku-1018,dOUGHbOY,french vanilla,Cookies,sNACKS,Hypermarket,GIANT CORP,241,2.65,637.66
2025-10-20,SKU-1012,crunchbite,Hot,Chips,f&b - sNACKS,Hypermarket,MegaMart Inc.,265,4.68,1240.62
2024-09-30,SKU-1010,CrunchBite,Salt,Chips,SNACK,Online,WebCart,153,4.64,709.35
2024-06-10,ska-1012,cRUNCHbITE,hOT,Chips,Bites,Supermarket,Fzesh Grocer,126,4.23,533.24
2024-12-30,SKU-1010,cRUNCHbITE,Original Salted,Chips,bites,Convenience,Quick-Stop,575,2.81,1616.7
2025-01-13,SKU-1004,ColaMax,Nz Sugar,Soda,Beverages,Convenience,Quick Stop,467,3.47,1620.04
2024-07-15,SKU-a000,FizzPop,Standard,Soda,F&B - Bev,Online,wEBcART.CaM,532,2.02,1073.94
2024-01-01,sku-1018,DougsBoy,Vanilla,Cookies,Bites,Supermarket,Daily-Shop,306,3.94,1205.34
2024-10-28,SKU-x005,ColaMax,vANILLA,Soda,Liquid Refreshment,Supermarket,fRESHgROCER llc,466,3.86,1798.66
2024-09-23,SKU-1001,FizePop,Diet,Soda,LIQUID REFRESHMENT,Supermarket,dAILYsHOP lOCAL,241,4.83,1163.15
2026-04-06,SKU-1015,SweetTreat,ChocoChip,Cookies,Bites,Supermarket,Fresh Gr,189,4.64,876.67
2025-06-02,SKU-1000,FIZZPOP,Orxg,Soda,Beverages,Hypermarket,MMart,297,2.02,598.49
2024-09-02,SKU-1009,Titan,Citrs,Energy,bEVERAGE,Supermarket,FreshGrocer LLC,395,5.83,2303.28
2024-05-06,SKU-1009,tITAN,Lemon-Lime,Energy,F&B - Bev,Online,Web Cart,74,3.63,268.35
2024-07-22,SKU-1016,SweetTreat,oatmeal,Cookies,Packaged Snacks,Hypermarket,MegaMart Supercenters,95,5.66,537.76
2024-03-25,SKU-1007,Zap,SugarFree,Energy,Bevs,Supermarket,Daily Shop,447,3.03,1352.94
2025-12-29,sku-1015,SweetTreat,CHOCO CHIP,Cookies,Snack,Hypermarket,Mega Mart,420,2.65,1114.67
2026-02-16,SKU-1012,CRUNCHBITE,Spicy,Chips,Bites,Supermarket,Fresh Gr,275,2.09,575.94
2025-12-22,SKU-1002,FizzPop,Chry,Soda,Drinks,Supermarket,Daily Shop,222,3.64,807.44
2024-05-13,sku-1013,PotatoKing,classc,Chips,SNACK,Hypermarket,GiantStore,173,4.67,807.78
2025-12-08,SKU-1006,Zap,Classic,Energy,Drinks,Convenience,quick stop,437,2.33,1019.01
2025-12-29,SKU-1018,doughboy,french vanilla,Cookies,Snack,Online,primepantry,644,4.65,2994.13
2026-03-30,sku-1003,colamax,Base,Soda,Beverages,Online,WebCart,158,5.82,919.95
2025-03-10,SKU-1011,crunchbite,Barbeque,Chips,sNACKS,Hypermarket,GiantStore,217,3.9,846.64
2026-03-23,sku-1018,DoughBoy,vAN,Cookies,packaged snacks,Convenience,Quick-Stop,478,4.73,2262.82
2024-10-14,SKU-1018,doughboy,French Vanilla,Cookies,Snack,Supermarket,fRESHgROCER,369,2.38,878.14
2025-04-21,SKU-1011,CRUNCHBITE,Barbeque,Chips,Packaged Snacks,Online,Web Cart,522,5.28,2757.88
2025-09-29,SKU-1011,CrunchBite,Barbecue,Chips,Packaged Snacks,Online,WEBCART ONLINE,82,5.56,456.24
2025-10-27,SKU-1016,SweetTreat,OATML,Cookies,PACKAGED SNACKS,Hypermarket,Giant,329,3.01,991.35
2026-06-01,SKU-1016,sWEETtREAT,Oatmeal Raisin,Cookies,Packaged Snacks,Convenience,qUICK-sTOP,155,4.3,667.0
2024-01-29,SKU-1006,Zap,Classic,Energy,Drinks,Online,Prime Pntry,430,5.06,2174.48
2025-01-20,sku-1017,DoughBoy,Dbl ahc,Cookies,PACKAGED SNACKS,Supermarket,Daily Shop,617,3.08,1900.65
2025-08-11,sku-1015,SweetTreat,Chocolate Chip,Cookies,F&B - Snacks,Online,Prime Pantry,148,5.38,796.89
2024-05-06,SKU-1000,FizzPop,Orig,Soda,Beverage,Online,Prime Pantry,207,2.37,491.24
2024-01-08,SKU-1012,CrunchBite,Spcy,Chips,Bites,Hypermarket,Giant,632,5.18,3274.93
2024-07-01,SKU-1017,dOUGHbOY,DoualeChoco,Cookies,sNACKS,Convenience,cORNERsTORE iNC,360,4.8,1726.88
2026-01-26,SKU-1006,Zap,Classic,Energy,bEVS,Supermarket,Fresh Gr,491,5.05,2481.4
2025-03-10,SKU-1003,ColaMax,reg,Soda,Drinks,Convenience,Corner Store,294,3.12,916.51
2024-12-23,sku-1007,zap,No Sugar,Energy,LIQUID REFRESHMENT,Supermarket,Fresh Gr,424,5.44,2305.86
2025-12-01,SKU-1006,Zap,Orig,Energy,Drinks,Hypermarket,the giant store,235,4.06,954.67
2024-08-19,SKU-1004,colamex,Zero,Soda,Drinks,Hypermarket,MegaMart,424,5.13,2174.7
2025-10-13,SKU-1005,ColaMax,vnla,Soda,bEVERAGES,Online,Web Cart,494,3.92,1934.3
2024-04-29,SKU-1004,ColaMax,no sugar,Soda,Bevs,Convenience,Quick-Stop,464,5.5,2550.86
2026-04-27,SeU-1016,SweetTreat,Oat,Cookies,Snack,Convenience,QUICK STOP,468,5.51,
2024-12-09,SKU-1001,FizzPop,lite,Soda,bEVERAGES,Hypermarket,MegaMart Inc.,59,3.68,217.17
2024-01-29,SKU-1015,sweettreat,CC,Cookies,Bites,Convenience,tHE cORNEa sTORE,672,3.91,2625.91
2025-12-08,SKU-1012,CrunchBite,Flasin,Chips,pACKAGsD sNACKS,Supermarket,FreshGrocer LLC,669,4.33,2894.19
2024-07-08,SKU-1012,CRUNCHBITE,fLAMIN,Chips,Packaged Snacks,Hypermarket,The Giant Store,146,4.07,594.28
2025-06-02,SKUa1011,CrunchBite,Honey BBQ,Chips,SNACKS,Convenience,QuickStop Convenience,77,2.47,189.84
2025-04-14,SKU-1004,ColaMax,Zero Sugar,Soda,Bevs,Hypermarket,The Giant Store,439,4.17,1830.57
2025-11-03,sku-1014,potatoking,Sour Cream,Chips,SNACK,Hypermarket,MegaMart Supercenters,513,5.63,2887.96
2025-05-26,SKU-1016,sweettreat,oat,Cookies,Snacks,Convenience,Corner Store,150,3.34,500.73
2025-07-21,sku-1015,sWEETtREAT,ChocolateaChip,Cookies,Snack,Hypermarket,Giast,467,2.21,1032.9
2026-06-22,sku-1014,PotatoKing,SourCream,Chips,Snack,Hypermarket,MEGAMART SUPERCENTERS,352,5.98,2104.95
2026-02-02,SKU-1005,ColaMax,Frznch Vanilla,Soda,Drinks,Online,prime pntry,158,5.74,906.46
2026-03-30,SKU-1010,crunchbite,Salted,Chips,F&B - Snacks,Online,Prime Pantry,70,2.1,146.79
2025-11-17,sku-1003,ColaMax,Std,Soda,dRINKS,Supermarket,freshgrocer llc,359,2.11,758.31
2024-04-08,sku-1018,DoughBoy,Vanilla,Cookies,Bites,Hypermarket,MegaMart Inc.,452,3.45,1560.27
2024-03-04,SKU-1006,Zap,ognl,Energy,Drinks,Supermarket,Fresh Gr,338,2.98,1005.58
2025-03-17,SKU-1003,COLAMAX,REG,Soda,bEVERAGE,Hypermarket,gIANT cORP,321,5.39,1728.95
2025-10-20,SKU-1001,FizzPop,Lite,Soda,f&b - bev,Online,WebCart Online,480,4.78,2296.28
2024-04-29,sku-1012,CRUNCHBITE,Flamin,Chips,F&B - Snacks,Hypermarket,GiantStore,185,3.24,599.7
2024-11-04,sku-1016,SweetTreat,Oatml,Cookies,BITES,Hypermarket,MEGAMART INC.,464,5.51,2556.96
2024-12-23,sku-1011,CrunchBite,BARBEQUE,Chips,F&B - SNACKS,Supermarket,Daily Shop,109,4.84,528.06
2026-02-02,SKU-1015,SweetTreat,CC,Cookies,Snack,Hypermarket,Giant,334,4.89,1633.55
2025-01-13,SKU-1000,FizzPop,Standard,Soda,Beverages,Supermarket,Dasly-Shop,222,4.12,914.08
2025-10-27,SKU-1016,SweetTreat,OATMEAL,Cookies,F&B - Snacks,Supermarket,DailyShop,99,5.67,561.31
2024-09-23,sku-1002,FizzPop,Wild Cherry,Soda,Drinks,Convenience,QuickStop,354,2.18,772.17
2026-02-16,sku-1003,ColaMax,REG,Soda,Liquid Refreshmxnt,Online,Prime Pntry,182,5.63,1023.94
2024-01-29,SKU-1009,Tstan,CITRS,Energy,Liquid Refreshment,Hypermarket,Gixnt Store,262,2.98,781.03
2025-04-28,SKU-1011,CrunchBite,BARBEQUE,Chips,Snack,Convenience,CornerStore,192,4.96,951.9
2025-10-20,SKU-1010,CrunchBite,Sazt,Chips,PACKAGED SNACKS,Supermarket,dAILx-sHOP,253,5.05,1276.46
2024-09-16,SKU-1003,ColaMax,Reg,Soda,Bavs,Convenience,QUICK-STOP,200,3.66,732.37
2024-06-17,SKU-1005,colamax,French Vanilla,Soda,lIQUID rEFRESHMENT,Hypermarket,the giant store,196,5.98,1171.94
2025-01-27,SKU-1010,CrunchBite,Salted,Chips,Snacks,Online,Web Cart,240,2.48,594.27
2025-06-23,SKU-1011,CrunchBite,Honey BBQ,Chips,Bites,Convenience,CornerStore,262,4.06,1063.41
2024-11-11,SKU-1013,POTATOKING,Classic,Chips,f&b - snacks,Supermarket,DailyShop,228,3.7,843.23
2024-11-18,SKU-1000,FIZZPOP,Orig,Soda,Bevs,Supermarket,FreshGrocer,143,3.95,564.33
2025-11-10,sku-1004,ColaMax,No Segar,Soda,beverages,Hypermarket,The Giant Store,469,2.21,1034.56
2025-11-24,sku-1010,CrunchBite,Original Salted,Chips,Packaged Snacks,Convenience,CosnerStore,273,5.23,1428.36
2024-10-28,sku-1003,ColaMax,Standard,Soda,f&b - bev,Online,PrimePantry,454,3.12,1415.66
2025-09-08,SKU-1009,Titan,Ctrs,Energy,Beverages,Online,PrimePantry,96,2.22,213.4
2025-04-07,sku-1010,CRUNCHBITE,Sltd,Chips,Packaged Snacks,Supermarket,Fresh Gr,500,4.72,2358.69
2025-10-06,sku-1017,DoughBoy,Dbl Choco,Cookies,Snack,Supermarket,Daily-Shop,281,2.52,706.82
2024-07-22,SKU-1007,Zap,SF,Energy,Liquid Refreshment,Convenience,QuickStop,222,4.99,1107.19
2024-12-30,SaU-1014,PotatoKing,Sour Cream,Chips,Snacks,Supermarket,DAILY SHOP,436,3.06,1333.77
2024-10-21,SKU-1016,SweetTreat,Oatml,Cookies,PACKAGED SNACKS,Convenience,Quick Stop,70,2.15,150.32
2025-10-06,SsU-1001,FizzPop,Lite,Soda,bEVERAGE,Convenience,Corner Store,165,4.74,782.7
